id,applicationName,serverName,serverType,cpu,memory,storage,region,environment,notes,osType,osVersion,dbEngineVersion,dbClusterId,dbClusterType,orchestrationPlatform
infra-124,Manufacturing Tool,manufacturing-tool-service-srv-124,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-442,Single Instance,Kubernetes
infra-125,Manufacturing Tool,manufacturing-tool-api-srv-125,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Production,,Windows,Windows Server 2022,MongoDB 6.0,db-cluster-396,Active/Backup,ECS
infra-126,Manufacturing Tool,manufacturing-tool-api-srv-126,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2023,DynamoDB,db-cluster-697,Single Instance,Kubernetes
infra-127,Finance Tracker,finance-tracker-api-srv-127,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,MongoDB 6.0,db-cluster-166,Active/Backup,EKS
infra-128,Finance Tracker,finance-tracker-api-srv-128,c5.large,2 vCPU,4 GB,80 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-624,Multi-AZ,Kubernetes
infra-129,Finance Tracker,finance-tracker-service-srv-129,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2,MongoDB 6.0,db-cluster-345,Active/Active,EKS
infra-130,Finance Tracker,finance-tracker-service-srv-130,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-815,Single Instance,EKS
infra-131,Finance Tracker,finance-tracker-processor-srv-131,t3.small,2 vCPU,2 GB,30 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2023,Redis 7.0,db-cluster-214,Multi-AZ,EKS
infra-132,Finance Tracker,finance-tracker-processor-srv-132,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,DynamoDB,db-cluster-736,Single Instance,ECS
infra-133,Finance Tracker,finance-tracker-worker-srv-133,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-650,Active/Active,None
infra-134,Finance Tracker,finance-tracker-worker-srv-134,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Staging,,Windows,Windows Server 2022,Aurora PostgreSQL 14,db-cluster-814,Active/Backup,Kubernetes
infra-135,Legal Monitor 22,legal-monitor-22-frontend-srv-135,m5.large,2 vCPU,8 GB,100 GB SSD,us-east-1,Production,,Windows,Ubuntu 20.04,PostgreSQL 14,db-cluster-339,Active/Active,None
infra-136,Legal Monitor 22,legal-monitor-22-frontend-srv-136,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Staging,,Windows,Windows Server 2022,DynamoDB,db-cluster-459,Single Instance,None
infra-137,Legal Monitor 22,legal-monitor-22-processor-srv-137,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,MongoDB 6.0,db-cluster-267,Active/Backup,Kubernetes
infra-138,Legal Monitor 22,legal-monitor-22-processor-srv-138,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,Aurora PostgreSQL 14,db-cluster-275,Active/Backup,None
infra-139,Legal Monitor 22,legal-monitor-22-processor-srv-139,c5.large,2 vCPU,4 GB,80 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,MongoDB 6.0,db-cluster-229,Active/Active,Kubernetes
infra-140,Legal Monitor 22,legal-monitor-22-processor-srv-140,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-849,Single Instance,EKS
infra-141,Legal Monitor 22,legal-monitor-22-api-srv-141,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Production,Primary instance,Linux,Ubuntu 20.04,MongoDB 6.0,db-cluster-714,Active/Backup,None
infra-142,Legal Monitor 22,legal-monitor-22-api-srv-142,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-569,Active/Active,ECS
infra-143,Legal Monitor 22,legal-monitor-22-service-srv-143,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,DynamoDB,db-cluster-600,Active/Backup,ECS
infra-144,Legal Monitor 22,legal-monitor-22-service-srv-144,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,DynamoDB,db-cluster-349,Active/Active,EKS
infra-145,R&D Gateway,r&d-gateway-api-srv-145,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Production,,Windows,Windows Server 2019,DynamoDB,db-cluster-679,Single Instance,ECS
infra-146,R&D Gateway,r&d-gateway-api-srv-146,c5.large,2 vCPU,4 GB,80 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2023,PostgreSQL 14,db-cluster-803,Active/Backup,ECS
infra-147,R&D Gateway,r&d-gateway-frontend-srv-147,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2023,Aurora PostgreSQL 14,db-cluster-888,Active/Backup,Kubernetes
infra-148,R&D Gateway,r&d-gateway-frontend-srv-148,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,MongoDB 6.0,db-cluster-440,Multi-AZ,Kubernetes
infra-149,R&D Gateway,r&d-gateway-worker-srv-149,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,PostgreSQL 14,db-cluster-436,Active/Active,Kubernetes
infra-150,R&D Gateway,r&d-gateway-worker-srv-150,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,MongoDB 6.0,db-cluster-259,Multi-AZ,ECS
infra-151,R&D Gateway,r&d-gateway-service-srv-151,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,DynamoDB,db-cluster-525,Single Instance,None
infra-152,R&D Gateway,r&d-gateway-service-srv-152,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,Aurora PostgreSQL 14,db-cluster-921,Multi-AZ,EKS
infra-153,Product Portal 24,product-portal-24-frontend-srv-153,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,MySQL 8.0,db-cluster-519,Active/Active,Kubernetes
infra-154,Product Portal 24,product-portal-24-frontend-srv-154,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,PostgreSQL 14,db-cluster-378,Multi-AZ,ECS
infra-155,Product Portal 24,product-portal-24-frontend-srv-155,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Production,,Linux,Ubuntu 22.04,PostgreSQL 13,db-cluster-931,Single Instance,ECS
infra-156,Product Portal 24,product-portal-24-frontend-srv-156,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,PostgreSQL 14,db-cluster-923,Multi-AZ,None
infra-157,Product Portal 24,product-portal-24-backend-srv-157,r5.large,2 vCPU,16 GB,100 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2,PostgreSQL 15,db-cluster-298,Single Instance,ECS
infra-158,Product Portal 24,product-portal-24-backend-srv-158,m5.large,2 vCPU,8 GB,100 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,PostgreSQL 13,db-cluster-511,Active/Active,ECS
infra-159,Product Portal 24,product-portal-24-worker-srv-159,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,Redis 7.0,db-cluster-251,Active/Backup,Kubernetes
infra-160,Product Portal 24,product-portal-24-worker-srv-160,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,DynamoDB,db-cluster-356,Active/Active,EKS
infra-161,Sales Tool,sales-tool-backend-srv-161,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2,DynamoDB,db-cluster-884,Multi-AZ,EKS
infra-162,Sales Tool,sales-tool-backend-srv-162,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,MongoDB 6.0,db-cluster-477,Single Instance,Kubernetes
infra-163,Sales Tool,sales-tool-worker-srv-163,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2,PostgreSQL 13,db-cluster-856,Multi-AZ,None
infra-164,Sales Tool,sales-tool-worker-srv-164,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-665,Active/Active,EKS
infra-165,Sales Tool,sales-tool-worker-srv-165,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-east-1,Production,,Windows,Ubuntu 22.04,Redis 7.0,db-cluster-185,Active/Backup,ECS
infra-166,Sales Tool,sales-tool-worker-srv-166,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,DynamoDB,db-cluster-988,Active/Active,ECS
infra-167,Manufacturing Controller,manufacturing-controller-srv-167,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Production,Primary instance,Windows,Ubuntu 20.04,DynamoDB,db-cluster-118,Active/Backup,ECS
infra-168,Manufacturing Controller,manufacturing-controller-srv-168,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,PostgreSQL 15,db-cluster-309,Single Instance,EKS
infra-169,Compliance Processor,compliance-processor-processor-srv-169,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,Primary instance,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-551,Multi-AZ,ECS
infra-170,Compliance Processor,compliance-processor-processor-srv-170,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-west-2,Staging,,Windows,Windows Server 2022,PostgreSQL 15,db-cluster-491,Single Instance,ECS
infra-171,Compliance Processor,compliance-processor-api-srv-171,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,,Windows,Windows Server 2019,Redis 7.0,db-cluster-405,Multi-AZ,Kubernetes
infra-172,Compliance Processor,compliance-processor-api-srv-172,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,MySQL 8.0,db-cluster-746,Active/Backup,EKS
infra-173,Analytics Controller,analytics-controller-service-srv-173,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,,Linux,Ubuntu 20.04,DynamoDB,db-cluster-824,Multi-AZ,Kubernetes
infra-174,Analytics Controller,analytics-controller-service-srv-174,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,MongoDB 6.0,db-cluster-853,Single Instance,None
infra-175,Analytics Controller,analytics-controller-frontend-srv-175,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,Primary instance,Windows,Amazon Linux 2,MongoDB 6.0,db-cluster-940,Active/Active,EKS
infra-176,Analytics Controller,analytics-controller-frontend-srv-176,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,MySQL 8.0,db-cluster-292,Multi-AZ,Kubernetes
infra-177,Analytics Controller,analytics-controller-worker-srv-177,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,PostgreSQL 13,db-cluster-134,Multi-AZ,Kubernetes
infra-178,Analytics Controller,analytics-controller-worker-srv-178,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-996,Single Instance,Kubernetes
infra-179,Analytics Controller,analytics-controller-api-srv-179,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Production,,Linux,Ubuntu 22.04,Redis 7.0,db-cluster-257,Active/Backup,ECS
infra-180,Analytics Controller,analytics-controller-api-srv-180,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Staging,,Linux,Ubuntu 20.04,Aurora MySQL 8.0,db-cluster-168,Active/Active,None
infra-181,HR Monitor,hr-monitor-worker-srv-181,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-737,Single Instance,Kubernetes
infra-182,HR Monitor,hr-monitor-worker-srv-182,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,DynamoDB,db-cluster-292,Active/Active,Kubernetes
infra-183,HR Monitor,hr-monitor-service-srv-183,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,,Windows,Ubuntu 22.04,PostgreSQL 15,db-cluster-397,Multi-AZ,Kubernetes
infra-184,HR Monitor,hr-monitor-service-srv-184,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,Redis 7.0,db-cluster-999,Active/Active,ECS
infra-185,Legal Application,legal-application-api-srv-185,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,,Windows,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-663,Active/Active,EKS
infra-186,Legal Application,legal-application-api-srv-186,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-725,Active/Active,None
infra-187,Legal Application,legal-application-backend-srv-187,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-867,Multi-AZ,ECS
infra-188,Legal Application,legal-application-backend-srv-188,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-290,Single Instance,None
infra-189,Quality Assurance Processor,quality-assurance-processor-worker-srv-189,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,Redis 7.0,db-cluster-869,Active/Backup,Kubernetes
infra-190,Quality Assurance Processor,quality-assurance-processor-worker-srv-190,m5.large,2 vCPU,8 GB,100 GB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-998,Single Instance,ECS
infra-191,Quality Assurance Processor,quality-assurance-processor-frontend-srv-191,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-west-2,Production,,Windows,Ubuntu 22.04,Redis 7.0,db-cluster-881,Active/Active,Kubernetes
infra-192,Quality Assurance Processor,quality-assurance-processor-frontend-srv-192,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-644,Active/Active,EKS
infra-193,Risk Management Processor 32,risk-management-processor-32-backend-srv-193,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Production,,Windows,Windows Server 2019,Aurora PostgreSQL 14,db-cluster-657,Active/Active,EKS
infra-194,Risk Management Processor 32,risk-management-processor-32-backend-srv-194,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,PostgreSQL 13,db-cluster-154,Active/Active,None
infra-195,Risk Management Processor 32,risk-management-processor-32-api-srv-195,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Production,Primary instance,Windows,Windows Server 2019,Aurora PostgreSQL 14,db-cluster-158,Active/Backup,None
infra-196,Risk Management Processor 32,risk-management-processor-32-api-srv-196,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,DynamoDB,db-cluster-321,Single Instance,None
infra-197,Risk Management Processor 32,risk-management-processor-32-api-srv-197,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,PostgreSQL 13,db-cluster-734,Multi-AZ,None
infra-198,Risk Management Processor 32,risk-management-processor-32-api-srv-198,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,MongoDB 6.0,db-cluster-652,Active/Active,None
infra-199,Risk Management Processor 32,risk-management-processor-32-processor-srv-199,c5.large,2 vCPU,4 GB,80 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2,Redis 7.0,db-cluster-677,Active/Backup,EKS
infra-200,Risk Management Processor 32,risk-management-processor-32-processor-srv-200,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-930,Active/Active,None
infra-201,Risk Management Processor 32,risk-management-processor-32-api-srv-201,m5.large,2 vCPU,8 GB,100 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,Redis 7.0,db-cluster-964,Single Instance,EKS
infra-202,Risk Management Processor 32,risk-management-processor-32-api-srv-202,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,Redis 7.0,db-cluster-976,Single Instance,EKS
infra-203,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-203,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Production,Primary instance,Windows,Ubuntu 22.04,DynamoDB,db-cluster-212,Single Instance,Kubernetes
infra-204,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-204,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,MongoDB 6.0,db-cluster-765,Multi-AZ,ECS
infra-205,Manufacturing Monitor 33,manufacturing-monitor-33-backend-srv-205,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2023,MySQL 8.0,db-cluster-927,Active/Active,ECS
infra-206,Manufacturing Monitor 33,manufacturing-monitor-33-backend-srv-206,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-973,Single Instance,None
infra-207,Manufacturing Monitor 33,manufacturing-monitor-33-frontend-srv-207,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-239,Active/Backup,Kubernetes
infra-208,Manufacturing Monitor 33,manufacturing-monitor-33-frontend-srv-208,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,MongoDB 6.0,db-cluster-712,Single Instance,Kubernetes
infra-209,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-209,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Production,Primary instance,Windows,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-170,Multi-AZ,Kubernetes
infra-210,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-210,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-685,Active/Active,EKS
infra-211,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-211,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Windows,Amazon Linux 2023,Redis 7.0,db-cluster-577,Active/Backup,None
infra-212,Manufacturing Monitor 33,manufacturing-monitor-33-service-srv-212,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2023,PostgreSQL 15,db-cluster-411,Single Instance,ECS
infra-213,Manufacturing Service,manufacturing-service-api-srv-213,r5.large,2 vCPU,16 GB,100 GB SSD,us-east-1,Production,Primary instance,Windows,Amazon Linux 2,PostgreSQL 14,db-cluster-856,Single Instance,EKS
infra-214,Manufacturing Service,manufacturing-service-api-srv-214,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,Redis 7.0,db-cluster-404,Active/Active,None
infra-215,Manufacturing Service,manufacturing-service-service-srv-215,c5.large,2 vCPU,4 GB,80 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-454,Multi-AZ,ECS
infra-216,Manufacturing Service,manufacturing-service-service-srv-216,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,PostgreSQL 13,db-cluster-709,Multi-AZ,EKS
infra-217,Manufacturing Service,manufacturing-service-worker-srv-217,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-573,Active/Backup,EKS
infra-218,Manufacturing Service,manufacturing-service-worker-srv-218,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Staging,,Windows,Windows Server 2022,Redis 7.0,db-cluster-779,Multi-AZ,None
infra-219,Procurement Controller,procurement-controller-worker-srv-219,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2,DynamoDB,db-cluster-305,Single Instance,ECS
infra-220,Procurement Controller,procurement-controller-worker-srv-220,m5.large,2 vCPU,8 GB,100 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,PostgreSQL 14,db-cluster-200,Active/Backup,None
infra-221,Procurement Controller,procurement-controller-api-srv-221,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Production,,Linux,Amazon Linux 2,PostgreSQL 15,db-cluster-836,Active/Backup,EKS
infra-222,Procurement Controller,procurement-controller-api-srv-222,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,MySQL 8.0,db-cluster-251,Single Instance,ECS
infra-223,Procurement Controller,procurement-controller-service-srv-223,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Production,Primary instance,Linux,Ubuntu 22.04,DynamoDB,db-cluster-197,Single Instance,EKS
infra-224,Procurement Controller,procurement-controller-service-srv-224,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,PostgreSQL 15,db-cluster-554,Multi-AZ,ECS
infra-225,Procurement Controller,procurement-controller-worker-srv-225,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-186,Active/Backup,Kubernetes
infra-226,Procurement Controller,procurement-controller-worker-srv-226,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Staging,,Windows,Windows Server 2022,PostgreSQL 14,db-cluster-882,Active/Backup,ECS
infra-227,Procurement Controller,procurement-controller-backend-srv-227,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,DynamoDB,db-cluster-235,Multi-AZ,Kubernetes
infra-228,Procurement Controller,procurement-controller-backend-srv-228,c5.large,2 vCPU,4 GB,80 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-426,Multi-AZ,None
infra-229,Product Controller,product-controller-service-srv-229,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-736,Multi-AZ,None
infra-230,Product Controller,product-controller-service-srv-230,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,MongoDB 6.0,db-cluster-392,Active/Active,Kubernetes
infra-231,Product Controller,product-controller-frontend-srv-231,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Production,,Linux,Ubuntu 20.04,Aurora MySQL 8.0,db-cluster-257,Single Instance,ECS
infra-232,Product Controller,product-controller-frontend-srv-232,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-690,Multi-AZ,ECS
infra-233,Product Controller,product-controller-backend-srv-233,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2023,PostgreSQL 14,db-cluster-516,Active/Backup,EKS
infra-234,Product Controller,product-controller-backend-srv-234,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2023,PostgreSQL 14,db-cluster-890,Active/Active,None
infra-235,Product Controller,product-controller-frontend-srv-235,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,Redis 7.0,db-cluster-937,Active/Active,ECS
infra-236,Product Controller,product-controller-frontend-srv-236,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-535,Active/Backup,Kubernetes
infra-237,Product Controller,product-controller-backend-srv-237,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,,Windows,Windows Server 2019,Aurora PostgreSQL 14,db-cluster-143,Single Instance,Kubernetes
infra-238,Product Controller,product-controller-backend-srv-238,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,PostgreSQL 15,db-cluster-163,Active/Backup,EKS
infra-239,Engineering Gateway,engineering-gateway-worker-srv-239,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-916,Multi-AZ,None
infra-240,Engineering Gateway,engineering-gateway-worker-srv-240,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,Aurora MySQL 8.0,db-cluster-213,Active/Active,None
infra-241,Engineering Gateway,engineering-gateway-backend-srv-241,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-east-1,Production,,Windows,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-652,Active/Active,Kubernetes
infra-242,Engineering Gateway,engineering-gateway-backend-srv-242,r5.2xlarge,8 vCPU,64 GB,400 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,PostgreSQL 13,db-cluster-219,Multi-AZ,None
infra-243,Engineering Gateway,engineering-gateway-worker-srv-243,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-324,Multi-AZ,EKS
infra-244,Engineering Gateway,engineering-gateway-worker-srv-244,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,PostgreSQL 13,db-cluster-491,Multi-AZ,EKS
infra-245,Engineering Gateway,engineering-gateway-worker-srv-245,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Production,Primary instance,Windows,Amazon Linux 2023,DynamoDB,db-cluster-628,Multi-AZ,None
infra-246,Engineering Gateway,engineering-gateway-worker-srv-246,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2,PostgreSQL 14,db-cluster-233,Active/Backup,Kubernetes
infra-247,Engineering Service,engineering-service-srv-247,t3.small,2 vCPU,2 GB,30 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-552,Active/Backup,None
